,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,continent,lifeExp,pop,gdpPercap
0,1952-02-24,Belgium,Italy,2,0,Friendly,Brussels,Belgium,False,1952,Europe,68.0,8730405,8343.105127
1,1952-04-06,Belgium,Netherlands,4,2,Friendly,Antwerp,Belgium,False,1952,Europe,68.0,8730405,8343.105127
2,1952-05-22,Belgium,France,1,2,Friendly,Brussels,Belgium,False,1952,Europe,68.0,8730405,8343.105127
3,1952-10-19,Belgium,Netherlands,2,1,Friendly,Antwerp,Belgium,False,1952,Europe,68.0,8730405,8343.105127
4,1952-03-16,Chile,Panama,6,1,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
5,1952-03-23,Mexico,Uruguay,1,3,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
6,1952-03-23,Panama,Peru,1,7,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
7,1952-03-26,Chile,Mexico,4,0,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
8,1952-03-30,Peru,Uruguay,2,5,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
9,1952-04-02,Chile,Peru,3,2,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
10,1952-04-06,Brazil,Mexico,2,0,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
11,1952-04-06,Panama,Uruguay,1,6,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
12,1952-04-10,Brazil,Peru,0,0,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
13,1952-04-10,Mexico,Panama,4,2,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
14,1952-04-13,Brazil,Panama,5,0,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
15,1952-04-13,Chile,Uruguay,2,0,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
16,1952-04-16,Brazil,Uruguay,4,2,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
17,1952-04-20,Chile,Brazil,0,3,Pan American Championship,Santiago,Chile,False,1952,Americas,54.745,6377619,3939.978789
18,1952-04-20,Mexico,Peru,0,3,Pan American Championship,Santiago,Chile,True,1952,Americas,54.745,6377619,3939.978789
19,1952-03-23,Austria,Belgium,2,0,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
20,1952-05-07,Austria,Republic of Ireland,6,0,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
21,1952-05-25,Austria,England,2,3,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
22,1952-10-19,Austria,France,1,2,Friendly,Vienna,Austria,False,1952,Europe,66.8,6927772,6137.076492
23,1952-03-26,France,Sweden,0,1,Friendly,Paris,France,False,1952,Europe,67.41,42459667,7029.809327
24,1952-04-20,France,Portugal,3,0,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
25,1952-10-05,France,Germany,3,1,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
26,1952-11-11,France,Northern Ireland,3,1,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
27,1952-12-25,France,Belgium,0,1,Friendly,Colombes,France,False,1952,Europe,67.41,42459667,7029.809327
28,1952-05-04,Germany,Republic of Ireland,3,0,Friendly,Cologne,Germany,False,1952,Europe,67.5,69145952,7144.114393
29,1952-11-09,Germany,Switzerland,5,1,Friendly,Augsburg,Germany,False,1952,Europe,67.5,69145952,7144.114393
30,1952-12-21,Germany,Yugoslavia,3,2,Friendly,Ludwigshafen,Germany,False,1952,Europe,67.5,69145952,7144.114393
31,1952-05-11,Romania,Czechoslovakia,3,1,Friendly,Bucharest,Romania,False,1952,Europe,61.05,16630000,3144.613186
32,1952-05-25,Romania,Poland,1,0,Friendly,Bucharest,Romania,False,1952,Europe,61.05,16630000,3144.613186
33,1952-10-26,Romania,German DR,3,1,Friendly,Bucharest,Romania,False,1952,Europe,61.05,16630000,3144.613186
34,1952-05-14,Netherlands,Sweden,0,0,Friendly,Amsterdam,Netherlands,False,1952,Europe,72.13,10381988,8941.571858
35,1952-07-03,Netherlands,Curaçao,3,3,Friendly,Amsterdam,Netherlands,False,1952,Europe,72.13,10381988,8941.571858
36,1952-08-10,Netherlands,Egypt,1,1,Friendly,Amsterdam,Netherlands,False,1952,Europe,72.13,10381988,8941.571858
37,1952-05-18,Hungary,German DR,5,0,Friendly,Budapest,Hungary,False,1952,Europe,64.03,9504000,5263.673816
38,1952-10-19,Hungary,Czechoslovakia,5,0,Friendly,Budapest,Hungary,False,1952,Europe,64.03,9504000,5263.673816
39,1952-05-18,Italy,England,1,1,Friendly,Florence,Italy,False,1952,Europe,65.94,47666000,4931.404155
40,1952-12-28,Italy,Switzerland,2,0,Central European International Cup,Palermo,Italy,False,1952,Europe,65.94,47666000,4931.404155
41,1952-05-18,Poland,Bulgaria,0,1,Friendly,Warsaw,Poland,False,1952,Europe,61.31,25730551,4029.329699
42,1952-06-15,Poland,Hungary,1,5,Friendly,Warsaw,Poland,False,1952,Europe,61.31,25730551,4029.329699
43,1952-08-24,Silesia,China PR,5,1,Friendly,Chorzów,Poland,False,1952,Europe,61.31,25730551,4029.329699
44,1952-09-21,Poland,German DR,3,0,Friendly,Warsaw,Poland,False,1952,Europe,61.31,25730551,4029.329699
45,1952-05-25,Denmark,Scotland,1,2,Friendly,Copenhagen,Denmark,False,1952,Europe,70.78,4334000,9692.385245
46,1952-09-21,Denmark,Netherlands,3,2,Friendly,Copenhagen,Denmark,False,1952,Europe,70.78,4334000,9692.385245
47,1952-10-19,Denmark,Norway,1,3,Nordic Championship,Copenhagen,Denmark,False,1952,Europe,70.78,4334000,9692.385245
48,1952-05-28,Switzerland,England,0,3,Friendly,Zürich,Switzerland,False,1952,Europe,69.62,4815000,14734.23275
49,1952-06-22,Switzerland,Austria,1,1,Friendly,Geneva,Switzerland,False,1952,Europe,69.62,4815000,14734.23275
50,1952-09-20,Switzerland,Hungary,2,4,Central European International Cup,Berne,Switzerland,False,1952,Europe,69.62,4815000,14734.23275
51,1952-05-30,Sweden,Scotland,3,1,Friendly,Solna,Sweden,False,1952,Europe,71.86,7124673,8527.844662
52,1952-06-22,Sweden,Denmark,4,3,Nordic Championship,Solna,Sweden,False,1952,Europe,71.86,7124673,8527.844662
53,1952-10-26,Sweden,Italy,1,1,Friendly,Solna,Sweden,False,1952,Europe,71.86,7124673,8527.844662
54,1952-06-01,Spain,Republic of Ireland,6,0,Friendly,Madrid,Spain,False,1952,Europe,64.94,28549870,3834.034742
55,1952-12-07,Spain,Argentina,0,1,Friendly,Madrid,Spain,False,1952,Europe,64.94,28549870,3834.034742
56,1952-12-28,Spain,Germany,2,2,Friendly,Madrid,Spain,False,1952,Europe,64.94,28549870,3834.034742
57,1952-06-01,Turkey,Switzerland,1,5,Friendly,Ankara,Turkey,False,1952,Europe,43.585,22235677,1969.10098
58,1952-06-08,Turkey,Spain,0,0,Friendly,Istanbul,Turkey,False,1952,Europe,43.585,22235677,1969.10098
59,1952-06-10,Norway,Finland,1,2,Friendly,Oslo,Norway,False,1952,Europe,72.67,3327728,10095.42172
60,1952-06-11,Denmark,Sweden,0,2,Friendly,Oslo,Norway,True,1952,Europe,72.67,3327728,10095.42172
61,1952-06-13,Finland,Sweden,3,1,Friendly,Oslo,Norway,True,1952,Europe,72.67,3327728,10095.42172
62,1952-08-31,Norway,Finland,7,2,Nordic Championship,Oslo,Norway,False,1952,Europe,72.67,3327728,10095.42172
63,1952-10-05,Norway,Sweden,1,2,Nordic Championship,Oslo,Norway,False,1952,Europe,72.67,3327728,10095.42172
64,1952-06-22,Finland,Hungary,1,6,Friendly,Helsinki,Finland,False,1952,Europe,66.55,4090500,6424.519071
65,1952-08-04,Finland,China PR,4,0,Friendly,Helsinki,Finland,False,1952,Europe,66.55,4090500,6424.519071
66,1952-09-21,Finland,Sweden,1,8,Nordic Championship,Helsinki,Finland,False,1952,Europe,66.55,4090500,6424.519071
67,1952-10-05,Finland,Denmark,2,1,Nordic Championship,Helsinki,Finland,False,1952,Europe,66.55,4090500,6424.519071
68,1952-07-19,Haiti,Jamaica,4,1,Friendly,Port-au-Prince,Haiti,False,1952,Americas,37.579,3201488,1840.366939
69,1952-07-20,Haiti,Jamaica,3,3,Friendly,Port-au-Prince,Haiti,False,1952,Americas,37.579,3201488,1840.366939
70,1952-07-23,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False,1952,Americas,37.579,3201488,1840.366939
71,1952-07-27,Haiti,Jamaica,3,2,Friendly,Port-au-Prince,Haiti,False,1952,Americas,37.579,3201488,1840.366939
72,1952-09-23,Uganda,Tanzania,4,0,Friendly,Kampala,Uganda,False,1952,Africa,39.978,5824797,734.753484
73,1952-09-24,Kenya,Zanzibar,7,1,Friendly,Kampala,Uganda,True,1952,Africa,39.978,5824797,734.753484
74,1952-09-26,Tanzania,Zanzibar,1,3,Friendly,Kampala,Uganda,True,1952,Africa,39.978,5824797,734.753484
75,1952-09-27,Uganda,Kenya,6,3,Friendly,Kampala,Uganda,False,1952,Africa,39.978,5824797,734.753484
76,1952-11-23,Portugal,Austria,1,1,Friendly,Porto,Portugal,False,1952,Europe,59.82,8526050,3068.319867
77,1952-12-14,Portugal,Argentina,1,3,Friendly,Oeiras,Portugal,False,1952,Europe,59.82,8526050,3068.319867
78,1952-11-29,Albania,Czechoslovakia,3,2,Friendly,Tirana,Albania,False,1952,Europe,55.23,1282697,1601.056136
79,1957-01-16,Portugal,Northern Ireland,1,1,FIFA World Cup qualification,Lisbon,Portugal,False,1957,Europe,61.51,8817650,3774.571743
80,1957-05-26,Portugal,Italy,3,0,FIFA World Cup qualification,Oeiras,Portugal,False,1957,Europe,61.51,8817650,3774.571743
81,1957-01-21,Jamaica,Trinidad and Tobago,2,0,Friendly,Kingston,Jamaica,False,1957,Americas,62.61,1535090,4756.525781
82,1957-01-26,Jamaica,Trinidad and Tobago,1,0,Friendly,Kingston,Jamaica,False,1957,Americas,62.61,1535090,4756.525781
83,1957-01-28,Jamaica,Trinidad and Tobago,2,1,Friendly,Kingston,Jamaica,False,1957,Americas,62.61,1535090,4756.525781
84,1957-01-30,Spain,Netherlands,5,1,Friendly,Madrid,Spain,False,1957,Europe,66.66,29841614,4564.80241
85,1957-03-10,Spain,Switzerland,2,2,FIFA World Cup qualification,Madrid,Spain,False,1957,Europe,66.66,29841614,4564.80241
86,1957-05-26,Spain,Scotland,4,1,FIFA World Cup qualification,Madrid,Spain,False,1957,Europe,66.66,29841614,4564.80241
87,1957-02-09,Singapore,India,2,3,Friendly,Kallang,Singapore,False,1957,Asia,63.179,1445929,2843.104409
88,1957-09-10,Singapore,Myanmar,2,1,Friendly,Singapore,Singapore,False,1957,Asia,63.179,1445929,2843.104409
89,1957-02-10,Guatemala,Costa Rica,2,6,FIFA World Cup qualification,Guatemala,Guatemala,False,1957,Americas,44.142,3640876,2617.155967
90,1957-03-14,Guatemala,Curaçao,1,3,FIFA World Cup qualification,Guatemala,Guatemala,False,1957,Americas,44.142,3640876,2617.155967
91,1957-02-10,Sudan,Egypt,1,2,African Cup of Nations,Khartoum,Sudan,False,1957,Africa,39.624,9753392,1770.337074
92,1957-02-16,Egypt,Ethiopia,4,0,African Cup of Nations,Khartoum,Sudan,True,1957,Africa,39.624,9753392,1770.337074
93,1957-02-17,Sudan,Egypt,3,4,Friendly,Khartoum,Sudan,False,1957,Africa,39.624,9753392,1770.337074
94,1957-03-08,Sudan,Syria,1,0,FIFA World Cup qualification,Khartoum,Sudan,False,1957,Africa,39.624,9753392,1770.337074
95,1957-02-17,Costa Rica,Guatemala,3,1,FIFA World Cup qualification,San José,Costa Rica,False,1957,Americas,60.026,1112300,2990.010802
96,1957-03-03,Costa Rica,Curaçao,4,0,FIFA World Cup qualification,San José,Costa Rica,False,1957,Americas,60.026,1112300,2990.010802
97,1957-10-27,Costa Rica,Mexico,1,1,FIFA World Cup qualification,San José,Costa Rica,False,1957,Americas,60.026,1112300,2990.010802
98,1957-03-07,Ecuador,Uruguay,2,5,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
99,1957-03-10,Peru,Ecuador,2,1,Copa América,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
100,1957-03-13,Argentina,Colombia,8,2,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
101,1957-03-13,Brazil,Chile,4,2,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
102,1957-03-16,Peru,Chile,1,0,Copa América,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
103,1957-03-17,Argentina,Ecuador,3,0,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
104,1957-03-17,Colombia,Uruguay,1,0,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
105,1957-03-20,Argentina,Uruguay,4,0,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
106,1957-03-21,Brazil,Ecuador,7,1,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
107,1957-03-21,Chile,Colombia,3,2,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
108,1957-03-23,Peru,Uruguay,3,5,Copa América,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
109,1957-03-24,Brazil,Colombia,9,0,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
110,1957-03-24,Chile,Ecuador,2,2,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
111,1957-03-27,Peru,Colombia,4,1,Copa América,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
112,1957-03-28,Argentina,Chile,6,2,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
113,1957-03-28,Brazil,Uruguay,2,3,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
114,1957-03-31,Peru,Brazil,0,1,Copa América,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
115,1957-04-01,Chile,Uruguay,0,2,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
116,1957-04-01,Colombia,Ecuador,4,1,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
117,1957-04-03,Argentina,Brazil,3,0,Copa América,Lima,Peru,True,1957,Americas,46.263,9146100,4245.256698
118,1957-04-06,Peru,Argentina,2,1,Copa América,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
119,1957-04-09,Peru,Argentina,1,4,Friendly,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
120,1957-04-13,Peru,Brazil,1,1,FIFA World Cup qualification,Lima,Peru,False,1957,Americas,46.263,9146100,4245.256698
121,1957-03-10,Austria,Germany,2,3,Friendly,Vienna,Austria,False,1957,Europe,67.48,6965860,8842.59803
122,1957-04-14,Austria,Switzerland,4,0,Central European International Cup,Vienna,Austria,False,1957,Europe,67.48,6965860,8842.59803
123,1957-05-05,Austria,Sweden,1,0,Friendly,Vienna,Austria,False,1957,Europe,67.48,6965860,8842.59803
124,1957-05-26,Austria,Netherlands,3,2,FIFA World Cup qualification,Vienna,Austria,False,1957,Europe,67.48,6965860,8842.59803
125,1957-10-13,Austria,Czechoslovakia,2,2,Central European International Cup,Vienna,Austria,False,1957,Europe,67.48,6965860,8842.59803
126,1957-03-20,Netherlands,Luxembourg,4,1,FIFA World Cup qualification,Rotterdam,Netherlands,False,1957,Europe,72.99,11026383,11276.19344
127,1957-04-03,Netherlands,Germany,1,2,Friendly,Amsterdam,Netherlands,False,1957,Europe,72.99,11026383,11276.19344
128,1957-04-28,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False,1957,Europe,72.99,11026383,11276.19344
129,1957-09-11,Netherlands,Luxembourg,5,2,FIFA World Cup qualification,Rotterdam,Netherlands,False,1957,Europe,72.99,11026383,11276.19344
130,1957-09-25,Netherlands,Austria,1,1,FIFA World Cup qualification,Amsterdam,Netherlands,False,1957,Europe,72.99,11026383,11276.19344
131,1957-11-17,Netherlands,Belgium,5,2,Friendly,Rotterdam,Netherlands,False,1957,Europe,72.99,11026383,11276.19344
132,1957-03-31,Belgium,Spain,0,5,Friendly,Brussels,Belgium,False,1957,Europe,69.24,8989111,9714.960623
133,1957-05-26,Belgium,Romania,1,0,Friendly,Brussels,Belgium,False,1957,Europe,69.24,8989111,9714.960623
134,1957-06-05,Belgium,Iceland,8,3,FIFA World Cup qualification,Brussels,Belgium,False,1957,Europe,69.24,8989111,9714.960623
135,1957-10-27,Belgium,France,0,0,FIFA World Cup qualification,Brussels,Belgium,False,1957,Europe,69.24,8989111,9714.960623
136,1957-04-07,Mexico,United States,6,0,FIFA World Cup qualification,Mexico City,Mexico,False,1957,Americas,55.19,35015548,4131.546641
137,1957-06-30,Mexico,Canada,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,1957,Americas,55.19,35015548,4131.546641
138,1957-07-03,Mexico,Canada,2,0,FIFA World Cup qualification,Mexico City,Mexico,False,1957,Americas,55.19,35015548,4131.546641
139,1957-10-20,Mexico,Costa Rica,2,0,FIFA World Cup qualification,Mexico City,Mexico,False,1957,Americas,55.19,35015548,4131.546641
140,1957-04-17,Mauritius,Réunion,1,0,Friendly,Curepipe,Mauritius,False,1957,Africa,58.089,609816,2034.037981
141,1957-10-20,Madagascar,Réunion,0,1,Friendly,Curepipe,Mauritius,True,1957,Africa,58.089,609816,2034.037981
142,1957-10-24,Mauritius,Madagascar,4,0,Friendly,Curepipe,Mauritius,False,1957,Africa,58.089,609816,2034.037981
143,1957-10-27,Mauritius,Réunion,1,0,Friendly,Curepipe,Mauritius,False,1957,Africa,58.089,609816,2034.037981
144,1957-04-21,Brazil,Peru,1,0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False,1957,Americas,53.285,65551171,2487.365989
145,1957-06-11,Brazil,Portugal,2,1,Friendly,Rio de Janeiro,Brazil,False,1957,Americas,53.285,65551171,2487.365989
146,1957-06-16,Brazil,Portugal,3,0,Friendly,São Paulo,Brazil,False,1957,Americas,53.285,65551171,2487.365989
147,1957-07-07,Brazil,Argentina,1,2,Copa Roca,Rio de Janeiro,Brazil,False,1957,Americas,53.285,65551171,2487.365989
148,1957-07-10,Brazil,Argentina,2,0,Copa Roca,São Paulo,Brazil,False,1957,Americas,53.285,65551171,2487.365989
149,1957-04-25,Italy,Northern Ireland,1,0,FIFA World Cup qualification,Rome,Italy,False,1957,Europe,67.81,49182000,6248.656232
150,1957-12-22,Italy,Portugal,3,0,FIFA World Cup qualification,Milan,Italy,False,1957,Europe,67.81,49182000,6248.656232
151,1957-04-28,United States,Mexico,2,7,FIFA World Cup qualification,Long Beach,United States,False,1957,Americas,69.49,171984000,14847.12712
152,1957-07-06,United States,Canada,2,3,FIFA World Cup qualification,St. Louis,United States,False,1957,Americas,69.49,171984000,14847.12712
153,1957-05-05,Greece,Yugoslavia,0,0,FIFA World Cup qualification,Athens,Greece,False,1957,Europe,67.86,8096218,4916.299889
154,1957-06-16,Greece,Romania,1,2,FIFA World Cup qualification,Athens,Greece,False,1957,Europe,67.86,8096218,4916.299889
155,1957-05-12,Indonesia,China PR,2,0,FIFA World Cup qualification,Jakarta,Indonesia,False,1957,Asia,39.918,90124000,858.9002707
156,1957-05-15,Denmark,England,1,4,FIFA World Cup qualification,Copenhagen,Denmark,False,1957,Europe,71.81,4487831,11099.65935
157,1957-05-26,Denmark,Bulgaria,1,1,Friendly,Copenhagen,Denmark,False,1957,Europe,71.81,4487831,11099.65935
158,1957-06-30,Denmark,Sweden,1,2,Nordic Championship,Copenhagen,Denmark,False,1957,Europe,71.81,4487831,11099.65935
159,1957-10-02,Denmark,Republic of Ireland,0,2,FIFA World Cup qualification,Copenhagen,Denmark,False,1957,Europe,71.81,4487831,11099.65935
160,1957-10-13,Denmark,Finland,3,0,Nordic Championship,Copenhagen,Denmark,False,1957,Europe,71.81,4487831,11099.65935
161,1957-05-19,Poland,Turkey,0,1,Friendly,Warsaw,Poland,False,1957,Europe,65.77,28235346,4734.253019
162,1957-10-20,Poland,Russia,2,1,FIFA World Cup qualification,Chorzów,Poland,False,1957,Europe,65.77,28235346,4734.253019
163,1957-11-03,Poland,Finland,4,0,FIFA World Cup qualification,Warsaw,Poland,False,1957,Europe,65.77,28235346,4734.253019
164,1957-05-19,Switzerland,Scotland,1,2,FIFA World Cup qualification,Basel,Switzerland,False,1957,Europe,70.56,5126000,17909.48973
165,1957-11-24,Switzerland,Spain,1,4,FIFA World Cup qualification,Lausanne,Switzerland,False,1957,Europe,70.56,5126000,17909.48973
166,1957-05-22,Germany,Scotland,1,3,Friendly,Stuttgart,Germany,False,1957,Europe,69.1,71019069,10187.82665
167,1957-11-20,Germany,Sweden,1,0,Friendly,Hamburg,Germany,False,1957,Europe,69.1,71019069,10187.82665
168,1957-12-22,Germany,Hungary,1,0,Friendly,Hanover,Germany,False,1957,Europe,69.1,71019069,10187.82665
169,1957-05-22,Norway,Bulgaria,1,2,FIFA World Cup qualification,Oslo,Norway,False,1957,Europe,73.44,3491938,11653.97304
170,1957-06-12,Norway,Hungary,2,1,FIFA World Cup qualification,Oslo,Norway,False,1957,Europe,73.44,3491938,11653.97304
171,1957-09-22,Norway,Denmark,2,2,Nordic Championship,Oslo,Norway,False,1957,Europe,73.44,3491938,11653.97304
172,1957-05-23,Uruguay,Argentina,0,0,Copa Newton,Montevideo,Uruguay,False,1957,Americas,67.044,2424959,6150.772969
173,1957-06-30,Uruguay,Colombia,1,0,FIFA World Cup qualification,Montevideo,Uruguay,False,1957,Americas,67.044,2424959,6150.772969
174,1957-07-28,Uruguay,Paraguay,2,0,FIFA World Cup qualification,Montevideo,Uruguay,False,1957,Americas,67.044,2424959,6150.772969
175,1957-05-24,Syria,Sudan,1,1,FIFA World Cup qualification,Damascus,Syria,False,1957,Asia,48.284,4149908,2117.234893
176,1957-06-02,France,Iceland,8,0,FIFA World Cup qualification,Nantes,France,False,1957,Europe,68.93,44310863,8662.834898
177,1957-12-25,France,Bulgaria,2,2,Friendly,Colombes,France,False,1957,Europe,68.93,44310863,8662.834898
178,1957-06-02,Tunisia,Libya,4,2,Friendly,Tunis,Tunisia,False,1957,Africa,47.1,3950849,1395.232468
179,1957-06-05,Argentina,Uruguay,1,1,Copa Lipton,Buenos Aires,Argentina,False,1957,Americas,64.399,19610538,6856.856212
180,1957-10-20,Argentina,Chile,4,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,1957,Americas,64.399,19610538,6856.856212
181,1957-10-27,Argentina,Bolivia,4,0,FIFA World Cup qualification,Avellaneda,Argentina,False,1957,Americas,64.399,19610538,6856.856212
182,1957-06-06,Paraguay,Bolivia,5,2,Copa Paz del Chaco,Asunción,Paraguay,False,1957,Americas,63.196,1770902,2046.154706
183,1957-06-13,Paraguay,Bolivia,0,1,Copa Paz del Chaco,Asunción,Paraguay,False,1957,Americas,63.196,1770902,2046.154706
184,1957-07-07,Paraguay,Colombia,3,0,FIFA World Cup qualification,Asunción,Paraguay,False,1957,Americas,63.196,1770902,2046.154706
185,1957-07-14,Paraguay,Uruguay,5,0,FIFA World Cup qualification,Asunción,Paraguay,False,1957,Americas,63.196,1770902,2046.154706
186,1957-06-16,Colombia,Uruguay,1,1,FIFA World Cup qualification,Bogotá,Colombia,False,1957,Americas,55.118,14485993,2323.805581
187,1957-06-20,Colombia,Paraguay,2,3,FIFA World Cup qualification,Bogotá,Colombia,False,1957,Americas,55.118,14485993,2323.805581
188,1957-06-23,Colombia,Paraguay,1,2,Friendly,Medellín,Colombia,False,1957,Americas,55.118,14485993,2323.805581
189,1957-06-16,Sweden,Hungary,0,0,Friendly,Solna,Sweden,False,1957,Europe,72.49,7363802,9911.878226
190,1957-09-22,Sweden,Finland,5,1,Nordic Championship,Solna,Sweden,False,1957,Europe,72.49,7363802,9911.878226
191,1957-10-13,Sweden,Norway,5,2,Nordic Championship,Solna,Sweden,False,1957,Europe,72.49,7363802,9911.878226
192,1957-06-18,Finland,Denmark,2,0,Friendly,Helsinki,Finland,False,1957,Europe,67.49,4324000,7545.415386
193,1957-06-18,Norway,Sweden,0,0,Friendly,Turku,Finland,True,1957,Europe,67.49,4324000,7545.415386
194,1957-06-19,Denmark,Norway,2,0,Friendly,Tampere,Finland,True,1957,Europe,67.49,4324000,7545.415386
195,1957-06-19,Finland,Sweden,1,5,Friendly,Helsinki,Finland,False,1957,Europe,67.49,4324000,7545.415386
196,1957-07-05,Finland,Poland,1,3,FIFA World Cup qualification,Helsinki,Finland,False,1957,Europe,67.49,4324000,7545.415386
197,1957-08-15,Finland,Russia,0,10,FIFA World Cup qualification,Helsinki,Finland,False,1957,Europe,67.49,4324000,7545.415386
198,1957-09-01,Finland,Norway,0,4,Nordic Championship,Helsinki,Finland,False,1957,Europe,67.49,4324000,7545.415386
199,1957-06-22,Canada,United States,5,1,FIFA World Cup qualification,Toronto,Canada,False,1957,Americas,69.96,17010154,12489.95006
200,1957-06-23,Hungary,Bulgaria,4,1,FIFA World Cup qualification,Budapest,Hungary,False,1957,Europe,66.41,9839000,6040.180011
201,1957-09-22,Hungary,Russia,1,2,Friendly,Budapest,Hungary,False,1957,Europe,66.41,9839000,6040.180011
202,1957-10-06,Hungary,France,2,0,Friendly,Budapest,Hungary,False,1957,Europe,66.41,9839000,6040.180011
203,1957-11-10,Hungary,Norway,5,0,FIFA World Cup qualification,Budapest,Hungary,False,1957,Europe,66.41,9839000,6040.180011
204,1957-07-08,Iceland,Norway,0,3,Friendly,Reykjavík,Iceland,False,1957,Europe,73.47,165110,9244.001412
205,1957-07-10,Iceland,Denmark,2,6,Friendly,Reykjavík,Iceland,False,1957,Europe,73.47,165110,9244.001412
206,1957-07-12,Denmark,Norway,1,3,Friendly,Reykjavík,Iceland,True,1957,Europe,73.47,165110,9244.001412
207,1957-09-01,Iceland,France,1,5,FIFA World Cup qualification,Reykjavík,Iceland,False,1957,Europe,73.47,165110,9244.001412
208,1957-09-04,Iceland,Belgium,2,5,FIFA World Cup qualification,Reykjavík,Iceland,False,1957,Europe,73.47,165110,9244.001412
209,1957-07-21,Bulgaria,Russia,0,4,Friendly,Sofia,Bulgaria,False,1957,Europe,66.61,7651254,3008.670727
210,1957-09-15,Bulgaria,Hungary,1,2,FIFA World Cup qualification,Sofia,Bulgaria,False,1957,Europe,66.61,7651254,3008.670727
211,1957-09-29,Bulgaria,Poland,1,1,Friendly,Sofia,Bulgaria,False,1957,Europe,66.61,7651254,3008.670727
212,1957-11-03,Bulgaria,Norway,7,0,FIFA World Cup qualification,Sofia,Bulgaria,False,1957,Europe,66.61,7651254,3008.670727
213,1957-08-18,Bolivia,Paraguay,3,3,Copa Paz del Chaco,La Paz,Bolivia,False,1957,Americas,41.89,3211738,2127.686326
214,1957-08-21,Bolivia,Paraguay,2,1,Copa Paz del Chaco,La Paz,Bolivia,False,1957,Americas,41.89,3211738,2127.686326
215,1957-09-29,Bolivia,Chile,3,0,FIFA World Cup qualification,La Paz,Bolivia,False,1957,Americas,41.89,3211738,2127.686326
216,1957-10-06,Bolivia,Argentina,2,0,FIFA World Cup qualification,La Paz,Bolivia,False,1957,Americas,41.89,3211738,2127.686326
217,1957-08-24,Sierra Leone,Ghana,2,3,Friendly,Freetown,Sierra Leone,False,1957,Africa,31.57,2295678,1004.484437
218,1957-09-15,Chile,Brazil,1,0,Copa Bernardo O'Higgins,Santiago,Chile,False,1957,Americas,56.074,7048426,4315.622723
